Code d�partement,Code de la commune,Cl� unique,Commune,Couleur politique
77,430,77_430,Saint-Pathus,LDVG
974,415,974_415,Saint-Paul,LCOM
974,417,974_417,Saint-Philippe,LMAJ
975,2,975_2,Saint-Pierre,LSOC
17,385,17_385,Saint-Pierre-d'Ol�ron,LSOC
69,289,69_289,Saint-Pierre-de-Chandieu,LMC
14,654,14_654,Saint-Pierre-sur-Dives,LDVG
69,290,69_290,Saint-Priest,LSOC
42,275,42_275,Saint-Priest-en-Jarez,LDVG
45,298,45_298,Saint-Pryv�-Saint-Mesmin,LMAJ
26,325,26_325,Saint-Rambert-d'Albon,LDVD
78,575,78_575,Saint-R�my-l�s-Chevreuse,LMAJ
84,119,84_119,Saint-Saturnin-l�s-Avignon,LAUT
27,602,27_602,Saint-S�bastien-de-Morsent,LDVD
81,271,81_271,Saint-Sulpice,LGC
83,119,83_119,Saint-Tropez,LDVD
76,655,76_655,Saint-Valery-en-Caux,LDVD
17,414,17_414,Saint-Xandre,LSOC
972,226,972_226,Sainte-Anne,LREG
971,128,971_128,Sainte-Anne,LDVD
33,397,33_397,Sainte-Eulalie,LDVG
69,202,69_202,Sainte-Foy-l�s-Lyon,LMAJ
49,278,49_278,Sainte-Gemmes-sur-Loire,LDVD
47,252,47_252,Sainte-Livrade-sur-Lot,LUG
972,227,972_227,Sainte-Luce,LDVG
972,228,972_228,Sainte-Marie,LDVG
974,419,974_419,Sainte-Rose,LMAJ
971,129,971_129,Sainte-Rose,LDVD
43,224,43_224,Sainte-Sigol�ne,LDVD
17,415,17_415,Saintes,LUG
91,577,91_577,Saintry-sur-Seine,LUG
13,103,13_103,Salon-de-Provence,LSOC
83,123,83_123,Sanary-sur-Mer,LMC
95,582,95_582,Sannois,LMAJ
84,122,84_122,Sarrians,LSOC
56,240,56_240,Sarzeau,LMAJ
38,474,38_474,Sassenage,LMAJ
49,328,49_328,Saumur,LMC
44,194,44_194,Sautron,LDVD
77,445,77_445,Savigny-le-Temple,LUG
29,274,29_274,Sca�r,LDVG
92,71,92_71,Sceaux,LDVD
67,447,67_447,Schiltigheim,LUG
972,229,972_229,Schoelcher,LDVG
74,263,74_263,Sciez,LDVD
41,242,41_242,Selles-sur-Cher,LDVG
21,603,21_603,Semur-en-Auxois,LDVD
56,243,56_243,S�n�,LUG
60,612,60_612,Senlis,LDVD
89,387,89_387,Sens,LDVG
34,300,34_300,Servian,LDVD
34,301,34_301,S�te,LMAJ
92,72,92_72,S�vres,LMAJ
11,379,11_379,Sigean,LDVG
13,107,13_107,Simiane-Collongue,LSOC
59,569,59_569,Sin-le-Noble,LUG
83,129,83_129,Six-Fours-les-Plages,LMAJ
2,722,2_722,Soissons,LUG
91,600,91_600,Soisy-sur-Seine,LDVG
59,571,59_571,Solesmes,LDVD
83,130,83_130,Solli�s-Pont,LDVD
46,309,46_309,Souillac,LSOC
40,310,40_310,Soustons,LUG
67,482,67_482,Strasbourg,LUG
44,201,44_201,Suc�-sur-Erdre,LSOC
94,71,94_71,Sucy-en-Brie,LMAJ
42,304,42_304,Sury-le-Comtal,LGC
33,522,33_522,Talence,LMC
13,108,13_108,Tarascon,LMAJ
65,440,65_440,Tarbes,LMAJ
69,244,69_244,Tassin-la-Demi-Lune,LDVD
69,297,69_297,Ternay,LDVD
57,672,57_672,Thionville,LUG
74,281,74_281,Thonon-les-Bains,LMAJ
77,464,77_464,Thorigny-sur-Marne,LDVG
44,204,44_204,Thouar�-sur-Loire,LUG
54,528,54_528,Toul,LUG
31,555,31_555,Toulouse,LUG
14,699,14_699,Touques,LDVD
77,470,77_470,Tournan-en-Brie,LSOC
7,324,7_324,Tournon-sur-Rh�ne,LMAJ
71,543,71_543,Tournus,LUG
37,261,37_261,Tours,LUG
83,141,83_141,Trans-en-Provence,LMAJ
11,397,11_397,Tr�bes,LDVD
22,343,22_343,Tr�beurden,LDVD
24,557,24_557,Tr�lissac,LUG
13,110,13_110,Trets,LMAJ
78,624,78_624,Triel-sur-Seine,LMAJ
971,132,971_132,Trois-Rivi�res,LDVG
976,517,976_517,TSINGONI,LAUT
68,338,68_338,Turckheim,LDVD
73,303,73_303,Ugine,LDVD
42,316,42_316,Unieux,LUG
64,545,64_545,Urrugne,LDVD
64,547,64_547,Ustaritz,LDVD
987,58,987_58,Uturoa,LMAJ
90,99,90_99,Valdoie,LMAJ
26,362,26_362,Valence,LUG
